,0,1,2,3,4,5,6,7,Single Core IPC,Raw IPC,Weighted speedup
654.roms_s-1070B,0.458526,0.457129,0.452866,0.455115,0.452624,0.456991,0.458545,0.455712,1.06548,3.647508,3.423347223786463
654.roms_s-1390B,0.35612,0.357128,0.35583,0.350667,0.356932,0.355744,0.356042,0.357164,1.05223,2.845627,2.7043773699666422
657.xz_s-2302B,0.625463,0.625507,0.624718,0.624353,0.624745,0.624053,0.62379,0.621827,0.662095,4.9944560000000005,7.543412954334348
bc-0,0.0485323,0.0485671,0.0486032,0.0485448,0.0484978,0.0485055,0.0485203,0.0484897,0.228191,0.3882607,1.7014724507101506
bc-3,0.0514758,0.0514691,0.0514781,0.0514777,0.0515265,0.0515152,0.0514797,0.051534,0.258065,0.4119561,1.596326894387073
bc-5,0.169339,0.169395,0.169404,0.169441,0.169436,0.16944,0.169463,0.169467,0.428542,1.355385,3.1627821777095364
bc-12,0.0499805,0.0499506,0.0499221,0.049941,0.0499977,0.0499925,0.049974,0.0499641,0.236447,0.3997225,1.6905374143042626
bfs-3,0.227223,0.227333,0.227183,0.227322,0.227577,0.227524,0.227696,0.227737,0.389929,1.819595,4.666477743384052
bfs-8,0.251897,0.251879,0.253123,0.252993,0.253176,0.252823,0.253467,0.253464,0.354223,2.022822,5.710589092182044
bfs-10,0.225384,0.22533,0.225414,0.225505,0.225324,0.225438,0.225398,0.225509,0.37662,1.803302,4.788120652116191
bfs-14,0.272538,0.272245,0.272535,0.272223,0.273684,0.273957,0.274202,0.274356,0.363345,2.18574,6.015605003509062
cc-5,0.0778345,0.0778286,0.0777875,0.0778207,0.0778449,0.0778347,0.077844,0.0778764,0.386224,0.6226713,1.6122025042462407
cc-6,0.0616011,0.0616029,0.0616046,0.0616189,0.0616168,0.0616288,0.0616227,0.0616383,0.247231,0.49293410000000004,1.9938199497635816
cc-13,0.0665325,0.0665483,0.0665239,0.066533,0.0665435,0.066537,0.0665795,0.0665866,0.271328,0.5323842999999999,1.9621428676730743
cc-14,0.0720657,0.0720827,0.0720772,0.0720854,0.0721134,0.0721177,0.0721054,0.0721173,0.320729,0.5767648,1.7982932631598638
pr-3,0.0217766,0.0217589,0.0217568,0.0217709,0.0218041,0.0217572,0.0217978,0.0217912,0.0853542,0.17421350000000002,2.0410653488639108
pr-5,0.0216493,0.0216596,0.0216558,0.0216539,0.0216483,0.0216534,0.0216495,0.0216284,0.0853472,0.17319819999999997,2.0293366390461545
pr-10,0.0216519,0.0216518,0.0216558,0.0216435,0.0216445,0.021645,0.0216397,0.0216377,0.0853205,0.1731699,2.0296400044537948
pr-14,0.0216895,0.0217059,0.0216852,0.0216924,0.0216963,0.0216917,0.0217044,0.0216857,0.0853286,0.1735511,2.033914771835
sssp-3,0.108272,0.108219,0.108229,0.108222,0.108169,0.108619,0.108138,0.10861,0.676026,0.866478,1.2817228923147925
sssp-5,0.108348,0.108353,0.108327,0.108211,0.108465,0.108314,0.108501,0.108479,0.678433,0.866998,1.277941963318412
sssp-10,0.108219,0.108207,0.108122,0.108131,0.108107,0.108237,0.10854,0.108561,0.680459,0.866124,1.2728525892081668
sssp-14,0.108402,0.108542,0.108473,0.108515,0.108557,0.108939,0.108797,0.108916,0.677919,0.8691409999999999,1.282072046955462
