,0,1,2,3,4,5,6,7,Single Core IPC,Raw IPC,Weighted speedup
654.roms_s-1070B,0.433689,0.44171,0.437679,0.441542,0.438223,0.442916,0.442895,0.442077,1.06622,3.520731,3.3020680534974023
654.roms_s-1390B,0.350708,0.351314,0.348377,0.350393,0.351263,0.350937,0.349666,0.351196,1.11703,2.803854,2.510097311620995
657.xz_s-2302B,0.622173,0.620973,0.621459,0.621147,0.6221,0.621516,0.620328,0.620057,0.666783,4.969752999999999,7.453328894107976
bc-0,0.0509008,0.0509307,0.0509794,0.0509353,0.0508472,0.0509071,0.0508906,0.05091,0.227536,0.40730109999999997,1.790051244638211
bc-3,0.0545466,0.0545415,0.0545412,0.0545412,0.054538,0.0545712,0.0545733,0.0545801,0.25806,0.4364331,1.691207858637526
bc-5,0.164269,0.164342,0.164364,0.164326,0.164415,0.164411,0.164408,0.164467,0.411616,1.3150020000000002,3.194730039648605
bc-12,0.0523782,0.0523289,0.0523436,0.0523634,0.0523462,0.0523404,0.0523274,0.0523774,0.235471,0.4188055,1.778586322731886
cc-5,0.0840432,0.084057,0.0840818,0.0841176,0.0841015,0.0840299,0.0840304,0.0840646,0.384277,0.672526,1.7501073444416397
cc-6,0.0666247,0.0665951,0.0666087,0.0666106,0.0666157,0.0665806,0.06663,0.0665959,0.24637,0.5328613,2.1628497787880017
cc-13,0.0718763,0.0718926,0.0718938,0.071908,0.0719456,0.0719517,0.0719467,0.0719724,0.270364,0.5753870999999999,2.1281942122471924
cc-14,0.078013,0.0779642,0.0779596,0.0779636,0.0780002,0.0780145,0.0780277,0.0780185,0.319384,0.6239612999999999,1.9536398191518671
pr-3,0.0237242,0.0237219,0.0237114,0.0237181,0.0237488,0.0237061,0.0237578,0.0237573,0.0851251,0.1898456,2.230195324293305
pr-5,0.0236173,0.0236193,0.0236092,0.0236168,0.0236017,0.0236001,0.0235963,0.0236002,0.0851182,0.1888609,2.2188074935795163
pr-10,0.0236019,0.0236078,0.0236093,0.0236146,0.0235971,0.023582,0.0235951,0.0235892,0.085091,0.188797,2.218765791916889
pr-14,0.0236239,0.0236403,0.0236399,0.0236293,0.0236442,0.0236365,0.0236385,0.0236361,0.085098,0.1890887,2.2220110930926698
bfs-3,0.224746,0.224751,0.224865,0.224798,0.224873,0.225346,0.224919,0.225336,0.393492,1.7996340000000002,4.573495776280077
sssp-3,0.114443,0.114407,0.114399,0.114268,0.114277,0.114277,0.114263,0.114297,0.667729,0.914631,1.3697637814143162
sssp-5,0.11498,0.115127,0.115072,0.114108,0.114762,0.115208,0.115087,0.115203,0.669916,0.919547,1.3726302999181987
bfs-8,0.245654,0.245676,0.245556,0.245691,0.246526,0.246423,0.246939,0.246935,0.357594,1.9694,5.5073630989334275
bfs-10,0.223347,0.22336,0.223354,0.223363,0.223231,0.223201,0.223222,0.223252,0.38051,1.78633,4.694567816877348
sssp-10,0.114296,0.114174,0.114203,0.11421,0.114292,0.115133,0.115133,0.115157,0.671963,0.916598,1.3640602235539756
bfs-14,0.266191,0.26631,0.266374,0.266369,0.266356,0.267043,0.266794,0.267699,0.366991,2.133136,5.812502213950751
sssp-14,0.114415,0.114849,0.114859,0.115329,0.115404,0.115326,0.115238,0.115324,0.669304,0.920744,1.3756738343114638
